threshold,n_bets,roi,win_rate,avg_edge_abs,avg_edge_signed,avg_books,avg_odds
0.01,389,0.07002468023629004,0.4961439588688946,0.06895391599083313,0.06895391599083313,6.0,61.61182519280206
0.015,371,0.07889366907033116,0.49865229110512127,0.07166704270850235,0.07166704270850235,6.0,64.57951482479784
0.02,348,0.08396154751137856,0.49712643678160917,0.07524032776702795,0.07524032776702795,6.0,67.99712643678161
0.025,328,0.05296099566656106,0.4817073170731707,0.07847709921232664,0.07847709921232664,6.0,71.89634146341463
0.03,300,0.06766165865551277,0.4866666666666667,0.0832348590847954,0.0832348590847954,6.0,75.99333333333334
0.04,251,0.04863069324322044,0.4701195219123506,0.09266572458077844,0.09266572458077844,6.0,87.23107569721115
0.05,222,0.06534329182240678,0.4774774774774775,0.09887128546014226,0.09887128546014226,6.0,93.19369369369369
