as_of_ts,game_id,game_date,home_team,away_team,home_runs_pred,away_runs_pred,total_runs_pred,run_diff_pred,p_home_win_poisson,p_home_model,home_runs_actual,away_runs_actual,home_win_actual,p_home_win_pred,total_runs_actual,home_win_actual_int,predicted_home_win
2026-03-19 18:30:09.864858+00:00,744838,2024-07-02,Washington Nationals,New York Mets,4.07157845904423,3.9611453011208693,8.0327237601651,0.11043315792336061,0.4437795117673693,0.4437795117673693,2,7,False,0.4437795117673693,9,0,0
2026-03-19 18:30:09.864858+00:00,746537,2024-07-02,Colorado Rockies,Milwaukee Brewers,4.152789245066544,3.9654695177480774,8.118258762814621,0.1873197273184668,0.45476843797734945,0.45476843797734945,3,4,False,0.45476843797734945,7,0,0
2026-03-19 18:30:12.744584+00:00,744834,2024-07-04,Washington Nationals,New York Mets,3.7433669368835645,3.6112572449702993,7.354624181853864,0.13210969191326516,0.4442542498656721,0.4442542498656721,1,0,True,0.4442542498656721,1,1,0
2026-03-19 18:30:14.192371+00:00,746693,2024-07-05,Cincinnati Reds,Detroit Tigers,5.89883741426795,5.661644094915816,11.560481509183766,0.2371933193521336,0.4683068389139857,0.4683068389139857,4,5,False,0.4683068389139857,9,0,0
2026-03-19 18:30:14.192371+00:00,746859,2024-07-05,Chicago Cubs,Los Angeles Angels,4.81390538203506,4.795560599349547,9.609465981384606,0.01834478268551276,0.43709083885597266,0.43709083885597266,5,1,True,0.43709083885597266,6,1,0
2026-03-19 18:30:15.633603+00:00,744995,2024-07-06,Texas Rangers,Tampa Bay Rays,5.124211351310125,4.734064492581964,9.858275843892088,0.39014685872816113,0.48489966159117404,0.48489966159117404,4,3,True,0.48489966159117404,7,1,0
2026-03-19 18:30:15.633603+00:00,745642,2024-07-06,Athletics,Baltimore Orioles,2.966232230655044,2.849430654624865,5.8156628852799095,0.11680157603017927,0.4342671879869745,0.4342671879869745,19,8,True,0.4342671879869745,27,1,0
2026-03-19 18:30:17.095294+00:00,744832,2024-07-07,Washington Nationals,St. Louis Cardinals,5.282078858644024,5.054580997288551,10.336659855932574,0.22749786135547279,0.46517082632360296,0.46517082632360296,3,8,False,0.46517082632360296,11,0,0
2026-03-19 18:30:17.095294+00:00,745391,2024-07-07,San Diego Padres,Arizona Diamondbacks,3.0579646818083335,2.9563090286882003,6.014273710496534,0.10165565312013314,0.43301758318147987,0.43301758318147987,1,9,False,0.43301758318147987,10,0,0
2026-03-19 18:30:17.095294+00:00,746855,2024-07-07,Chicago Cubs,Los Angeles Angels,4.535736709713478,4.472000317201707,9.007737026915185,0.0637363925117711,0.44091578004635235,0.44091578004635235,5,0,True,0.44091578004635235,5,1,0
2026-03-19 18:30:19.969518+00:00,745557,2024-07-09,Philadelphia Phillies,Los Angeles Dodgers,4.792778872684133,4.426821581384976,9.21960045406911,0.3659572912991571,0.48112285274729394,0.48112285274729394,10,1,True,0.48112285274729394,11,1,0
